LogTime,Baseball,Gossiping,C_Chat,Golden-Award,Stock,Lifeismoney,LoL,NBA,KoreaStar,SportLottery
2024-11-23 22:33:03,22654,8615,3704,2761,1924,1608,1412,1310,1009,874
2024-11-23 22:33:05,22654,8615,3704,2761,1924,1608,1412,1310,1009,874
2024-11-23 22:33:07,22663,8593,3689,2759,1915,1610,1405,1317,1016,878
2024-11-23 22:33:09,22663,8593,3689,2759,1915,1610,1405,1317,1016,878
2024-11-23 22:33:11,22663,8579,3682,2745,1910,1614,1411,1324,1022,881
2024-11-23 22:33:13,22663,8579,3682,2745,1910,1614,1411,1324,1022,881
2024-11-23 22:33:14,22670,8570,3686,2742,1915,1624,1410,1325,1026,885
2024-11-23 22:33:16,22670,8570,3686,2742,1915,1624,1410,1325,1026,885
2024-11-23 22:33:18,22670,8570,3686,2742,1915,1624,1410,1325,1026,885
2024-11-23 22:33:20,22648,8584,3678,2738,1918,1627,1418,1329,1018,877
2024-11-23 22:33:22,22648,8584,3678,2738,1918,1627,1418,1329,1018,877
2024-11-23 22:33:24,22653,8566,3666,2730,1907,1630,1416,1325,1018,877
2024-11-23 22:33:26,22653,8566,3666,2730,1907,1630,1416,1325,1018,877
2024-11-23 22:33:28,22660,8566,3656,2723,1907,1631,1422,1321,1021,865
2024-11-23 22:33:30,22660,8566,3656,2723,1907,1631,1422,1321,1021,865
